verification,session name,country code,place (optional),date (YYYYMMDD),spacing (m),shape,gps correction,bathy (yes/no),video (yes/no),photog (yes/no),Stockage,observation,Team,comment,arthur_comment
v2,20221019_SYC-ALDABRA-ARM01_ASV-01_00,SYC,Aldabra ARM01,20221019,-,linear,RTK with a Reach base,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",PPK Q1 10%,
v1,20221019_SYC-ALDABRA-ARM01_ASV-01_01,SYC,Aldabra ARM01,20221019,-,linear,RTK with a Reach base,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",,
v3,20221020_SYC-ALDABRA-ARM01_ASV-01_00,SYC,Aldabra ARM01,20221020,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ","datarmor, Filtrer à 32m",
v1,20221020_SYC-ALDABRA-ARM01_ASV-01_01,SYC,Aldabra ARM01,20221020,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221020_SYC-ALDABRA-ARM01_ASV-01_02,SYC,Aldabra ARM01,20221020,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",,
v1,20221020_SYC-ALDABRA-ARM01_ASV-02_01,SYC,Aldabra ARM01,20221020,-,linear,PPK with a Reach base corrected with PPP,yes,no,no,202210_plancha_session,mission MEOI,"MC, MR, MJ",,
v1,20221020_SYC-ALDABRA-GIGI_ASV-01_00,SYC,Aldabra GIGI,20221020,-,linear,no data,no,yes,yes,202210_plancha_session,"mission MEOI, UV light","MC, MR, MJ","we do not film time with camera, No GPS",
v1,20221021_SYC-ALDABRA-ARM01_ASV-01_00,SYC,Aldabra ARM01,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221021_SYC-ALDABRA-ARM01_ASV-01_02,SYC,Aldabra ARM01,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221021_SYC-ALDABRA-ARM01_ASV-02_00,SYC,Aldabra ARM01,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221021_SYC-ALDABRA-ARM01_ASV-02_02,SYC,Aldabra ARM01,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v3,20221021_SYC-ALDABRA-DUBOIS_ASV-01_01,SYC,Aldabra DUBOIS,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ","datarmor, Filtrer à 20m",
v1,20221021_SYC-ALDABRA-DUBOIS_ASV-02_01,SYC,Aldabra DUBOIS,20221021,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v3,20221022_SYC-ALDABRA-ARM06_ASV-01_01,SYC,Aldabra ARM06,20221022,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ","datarmor, Filtrer à 30m",
v0,20221022_SYC-ALDABRA-ARM06_ASV-01_02,SYC,Aldabra ARM06,20221022,-,linear,RTK with a Reach base,no,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",no rinex device => pas présent sur la planche,
v1,20221022_SYC-ALDABRA-ARM06_ASV-02_01,SYC,Aldabra ARM06,20221022,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221022_SYC-ALDABRA-ARM06_ASV-02_02,SYC,Aldabra ARM06,20221022,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221022_SYC-ALDABRA-GIGI_ASV-01_00,SYC,Aldabra GIGI,20221022,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v0,20221023_SYC-ALDABRA-DUBOIS_ASV-01_00,SYC,Aldabra DUBOIS,20221023,-,linear,no data,no,yes,no,202210_plancha_session,mission MEOI,"MC, MR, MJ",no gps device,
v2,20221023_SYC-ALDABRA-DUBOIS_ASV-01_01,SYC,Aldabra DUBOIS,20221023,-,linear,PPK with a Reach base corrected with PPP,no,yes,no,202210_plancha_session,mission MEOI,"MC, MR, MJ",BATHY ERROR ,
v3,20221023_SYC-ALDABRA-DUBOIS_ASV-01_02,SYC,Aldabra DUBOIS,20221023,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",Filtrer à 20m,
v1,20221023_SYC-ALDABRA-DUBOIS_ASV-02_02,SYC,Aldabra DUBOIS,20221023,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",ready to DTRMR,
v1,20221023_SYC-ALDABRA-GIGI_ASV-01_00,SYC,Aldabra GIGI,20221023,-,linear,PPK with a Reach base corrected with PPP,no,yes,yes,202210_plancha_session,"mission MEOI, UV light","MC, MR, MJ",Pas de gps,
v1,20221023_SYC-ALDABRA-GIGI_ASV-01_01,SYC,Aldabra GIGI,20221023,-,linear,PPK with a Reach base corrected with PPP,no,yes,yes,202210_plancha_session,"mission MEOI, UV light","MC, MR, MJ",Pas de gps,
v1,20221023_SYC-ALDABRA-GIGI_ASV-02_00,SYC,Aldabra GIGI,20221023,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",ready to DTRMR,
v0,20221023_SYC-ALDABRA-GIGI_ASV-02_01,SYC,Aldabra GIGI,20221023,-,linear,PPK with a Reach base corrected with PPP,no,yes,no,202210_plancha_session,mission MEOI,"MC, MR, MJ","NO BIN, NO GPS DEVICE",
v3,20221024_SYC-ALDABRA-ARM01_ASV-01_00,SYC,Aldabra ARM01,20221024,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ","datarmor, filtrer à 15m",
v3,20221024_SYC-ALDABRA-ARM01_ASV-01_01,SYC,Aldabra ARM01,20221024,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ","datarmor, filtrer à 20m",
v1,20221024_SYC-ALDABRA-ARM01_ASV-01_02,SYC,Aldabra ARM01,20221024,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",,
v1,20221024_SYC-ALDABRA-ARM01_ASV-02_00,SYC,Aldabra ARM01,20221024,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221024_SYC-ALDABRA-ARM01_ASV-02_01,SYC,Aldabra ARM01,20221024,-,linear,PPK with a Reach base corrected with PPP,yes,yes,yes,202210_plancha_session,mission MEOI,"MC, MR, MJ",datarmor,
v1,20221024_SYC-ALDABRA-GIGI_ASV-01_00,SYC,Aldabra GIGI,20221024,-,linear,no data,no,yes,yes,202210_plancha_session,"mission MEOI, UV light","MC, MR, MJ",,
v2,20221110_MUS-SAYA-DE-MALHA_ASV-01_00,MUS,Saya de malha,20221110,,,,yes,no,no,202211_plancha_session,MONACO,"MR, MC",Valeur incohérente,
v0,20221111_MUS-SAYA-DE-MALHA_ASV-01_00,MUS,Saya de malha,20221111,,,,no,yes,no,202211_plancha_session,MONACO,"MR, MC",Bad values (-1),
v2,20221113_MUS-SAYA-DE-MALHA_ASV-01_00,MUS,Saya de malha,20221113,,,,yes,no,no,202211_plancha_session,MONACO,"MR, MC",Valeur incohérente,
v3,20221119_MUS-ST-BRANDON_ASV-01_00,MUS,Saint Brandon,20221119,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC","""filt_exclude_specific_timeUS"": [[6860286627, 7019286685]]",
v3,20221119_MUS-ST-BRANDON_ASV-01_01,MUS,Saint Brandon,20221119,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",Filtrer sur -30,
v2,20221119_MUS-ST-BRANDON_ASV-02_00,MUS,Saint Brandon,20221119,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",Le sondeur semble avoir buggé,
v1,20221120_MUS-ST-BRANDON_ASV-01_00,MUS,Saint Brandon,20221120,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",,
v3,20221120_MUS-ST-BRANDON_ASV-01_01,MUS,Saint Brandon,20221120,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC","""filt_exclude_specific_timeUS"": [[1527919405, 1646919412]]",
v1,20221120_MUS-ST-BRANDON_ASV-02_00,MUS,Saint Brandon,20221120,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",A regarder,
v3,20221120_MUS-ST-BRANDON_ASV-02_01,MUS,Saint Brandon,20221120,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC","""filt_exclude_specific_timeUS"": [[856250794,1116050799]]",
v2,20221121_MUS-ST-BRANDON_ASV-01_00,MUS,Saint Brandon,20221121,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",Bizarre,
v2,20221121_MUS-ST-BRANDON_ASV-02_00,MUS,Saint Brandon,20221121,,,,yes,yes,no,202211_plancha_session,MONACO,"MR, MC",Valeur entre 0 et 5m mais Grand bleu sur vidéo donc surement hors porté du sonar,
v1,20230430_MDG-NOSY-VE_SCUBA-1_00,MDG,Nosyve,20230430,,,,no,yes,yes,202305_plancha_session,,"MC, JB, SP, GM","Pas de bin, Device GPX",
v2,20230430_MDG-NOSY-VE_SCUBA-1_01,MDG,Nosyve,20230430,,,,no,no,no,202305_plancha_session,,"MC, JB, SP, GM","Pas de bin, Device GPX, Photo à la place des vidéos",
v0,20230430_MDG-NOSY-VE_SCUBA-1_02,MDG,Nosyve,20230430,,,,no,yes,no,202305_plancha_session,,"MC, JB, SP, GM","Pas de bin, Pas de Device",
v0,20230430_MDG-NOSY-VE_SCUBA-2_00,MDG,Nosyve,20230430,,,,no,no,no,202305_plancha_session,,"MC, JB, SP, GM","Pas de bin, Pas de Device, Photo à la place des vidéos",
v1,20230501_MDG-ANAKAO_ASV-1_00,MDG,Anakao,20230501,,,,yes,yes,yes,202305_plancha_session,,"MC, JB, SP, GM",,
